line_ref,vehicle_journey_code,departure_time,from_stop_ref,origin_stop_name,origin_latitude,origin_longitude,to_stop_ref,destination_stop_name,destination_latitude,destination_longitude,distance_km,distance_metres,distance_band,sequence_gap,runtime_minutes
SCEK:PK0000098:427:600,VJ824,13:01:00,2400A049040A,Cemetery Gates,51.3567971,1.1304416,2400A049060A,Strode Park,51.3536928,1.131494,0.3528338798531265,352.83,0.25-0.50 km,1,1.0
SCEK:PK0000098:27:8,VJ26,13:14:00,2400100184,Netherhale Farm,51.3578662,1.2732022,2400A041790A,The Length,51.3509081,1.2585569,1.2778472814978188,1277.85,1.00-2.00 km,1,2.0
SCEK:PK0000098:427:600,VJ871,08:45:00,2400A049440A,Asda,51.2891204,1.0970154,2400A049410A,Reed Avenue,51.291768,1.1030035,0.5099634131089713,509.96,0.50-1.00 km,1,1.0
SCEK:PK0000098:28:71,VJ279,19:12:00,2400A028200A,Limes Road,51.086073,1.153819,240099311,St George's Road,51.0866212,1.1501716,0.2619512241307092,261.95,0.25-0.50 km,1,1.0
SCEK:PK0000098:362:100,VJ1591,08:55:00,2400A024110A,The Marsh Academy,50.9867312,0.9469799,2400100463,Greenly Way,50.9850151,0.952956,0.4597865223931438,459.79,0.25-0.50 km,1,2.0
SCEK:PK0000098:281:323,VJ1289,16:34:00,1400HA0447,Stonefield Road,50.8620708,0.5839927,1400HA0445,Morrisons,50.8593347,0.5836708,0.3050786061189253,305.08,0.25-0.50 km,1,1.0
SCEK:PK0000098:43:34,VJ1235,12:36:00,2400A046520A,Hobart Road,51.3462994,1.3888488,2400A046530A,Quetta Road,51.3470803,1.3864216,0.1896258189733812,189.63,Under 0.25 km,1,1.0
SCEK:PK0000098:407:1066,VJ958,19:45:00,1400RR0329,Royal George,51.0171147,0.4708626,1400RR84143,Silver Hill Farm,51.0076292,0.4753907,1.1012846641611005,1101.28,1.00-2.00 km,1,1.0
SCEK:PK0000098:262:1A,VJ307,13:46:00,1400EB0392,Sorrel Drive,50.8055017,0.2993718,1400EB10098,Primrose Close,50.8042791,0.2961467,0.26427922703509643,264.28,0.25-0.50 km,1,1.0
SCEK:PK0000098:371:48A,VJ387,07:29:00,2400103309,Church,51.3458359,1.3696971,2400103914,Museums,51.3487431,1.3458076,1.6903782183904699,1690.38,1.00-2.00 km,1,3.0
SCEK:PK0000098:432:321,VJ247,17:00:00,1400HA0451,St Anne's House,50.8878972,0.562614,1400HA0194,Baldslow Post Office,50.889096,0.55647,0.4511174228035038,451.12,0.25-0.50 km,1,2.0
SCEK:PK0000098:434:105,VJ1205,23:20:00,2400A060580A,Dover Priory Railway Station,51.125293,1.306037,240097283,Malvern Road,51.1248702,1.3041194,0.14184416912459985,141.84,Under 0.25 km,1,1.0
SCEK:PK0000098:434:105,VJ1086,17:08:00,240099249,Grove Road,51.0858151,1.1865209,240099239,Stuart Road,51.0883159,1.188164,0.3008278080650735,300.83,0.25-0.50 km,1,1.0
SCEK:PK0000098:4:X3,VJ2232,10:30:00,2400106871,Syndale Bottom,51.3152128,0.8551264,2400A011610A,Buckland Cottages,51.3192652,0.834939,1.4735667030994342,1473.57,1.00-2.00 km,1,2.0
SCEK:PK0000098:332:400,VJ479,13:57:00,240097414,Riley Avenue,51.3632871,1.0855394,2400A048800A,Woodman Avenue,51.3640676,1.0753619,0.7119074520302148,711.91,0.50-1.00 km,1,2.0
SCEK:PK0000098:6:89,VJ512,16:10:00,240096691,Old Gate Inn,51.2630222,1.1022845,240096997,Renville Cottages,51.2566348,1.1121464,0.9876100483988304,987.61,0.50-1.00 km,2,1.0
SCEK:PK0000098:4:X3,VJ2204,10:10:00,2400A022280A,Saxon Road,51.3146212,0.8865778,240096764,The Three Tuns,51.3155803,0.8856191,0.12575081652224768,125.75,Under 0.25 km,1,1.0
SCEK:PK0000098:28:71,VJ72,08:54:00,2400A028120A,Ilex Road,51.0873605,1.1474369,2400A028130A,St George's Road,51.0866811,1.1506184,0.23470560762860587,234.71,Under 0.25 km,1,1.0
SCEK:PK0000098:143:915,VJ2378,07:19:00,2400A040800A,Highgate Road,51.3557641,1.0520507,2400A040810A,Lismore Road,51.3522601,1.0515591,0.3911202122488647,391.12,0.25-0.50 km,1,2.0
SCEK:PK0000098:332:401,VJ359,16:44:00,2400A048240A,Blean School,51.2989251,1.0504289,2400A048210A,Rough Common Turn,51.2946261,1.0542038,0.5453420095339954,545.34,0.50-1.00 km,1,1.0
SCEK:PK0000098:279:99,VJ803,05:00:00,1400HA0102,Greeba Court,50.8508805,0.5525991,1400HA0105,Marina Pavilion,50.8509865,0.5567963,0.29488714945398387,294.89,0.25-0.50 km,1,1.0
SCEK:PK0000098:332:401,VJ654,15:34:00,2400A048490A,Tollgate,51.3506814,1.0222671,2400A048470A,Borstal Hill,51.3442471,1.0216999,0.7165461727081736,716.55,0.50-1.00 km,1,1.0
SCEK:PK0000098:268:LINK,VJ586,14:00:00,1400EB0096,Burton Road,50.7816842,0.2705251,1400EB0093,District General Hospital,50.7863739,0.2670919,0.5746203807980395,574.62,0.50-1.00 km,1,3.0
SCEK:PK0000098:43:34,VJ1230,11:27:00,2400A044710A,Invicta Road,51.3765238,1.4024658,2400A044720A,Kent Road,51.3787119,1.4005296,0.2779513757305489,277.95,0.25-0.50 km,1,2.0
SCEK:PK0000098:247:P3,VJ1438,10:57:00,2400A049750A,St Augustine's Road,51.273676,1.089538,2400A049770A,St Lawrence Road,51.2705832,1.0932444,0.4298272224763687,429.83,0.25-0.50 km,1,2.0
SCEK:PK0000098:430:324,VJ1737,11:31:00,1400HA84365,Priory Meadow,50.856792,0.581541,1400HA0446,Morrisons,50.8602527,0.5840484,0.42314934958889966,423.15,0.25-0.50 km,1,1.0
SCEK:PK0000098:146:LOOP,VJ1130,15:05:00,2400100190,Swinburne Avenue,51.3539159,1.4324515,2400A047280A,East Kent College,51.3545875,1.4346998,0.17306691689235584,173.07,Under 0.25 km,1,1.0
SCEK:PK0000098:329:1B,VJ58,11:14:00,1400WE0113,Police Station,50.8619022,0.2584188,1400WE0108,Church,50.8604896,0.2551958,0.2753973731098078,275.4,0.25-0.50 km,1,2.0
SCEK:PK0000098:274:322,VJ1221,10:56:00,1400HA0445,Morrisons,50.8593347,0.5836708,1400HA84361,Priory Meadow,50.8566282,0.5816029,0.334123797942999,334.12,0.25-0.50 km,1,1.0
SCEK:PK0000098:332:400,VJ604,16:08:00,2400102664,Estuary View Medical Centre,51.341947,1.013592,240096719,Long Reach,51.3409848,1.0208964,0.5185298031744635,518.53,0.50-1.00 km,1,1.0
SCEK:PK0000098:27:8A,VJ170,12:55:00,2400A042700A,Cliffe Avenue,51.3830604,1.3583312,2400A042710A,Rancorn Road,51.3840067,1.3626556,0.3180143498409573,318.01,0.25-0.50 km,1,1.0
SCEK:PK0000098:363:501E,VJ201,19:03:00,2400100816,Bradbridge Green,51.1389714,0.8369572,240096294,The Bulrushes,51.140935,0.839065,0.26324525010399286,263.25,0.25-0.50 km,1,1.0
SCEK:PK0000098:332:400,VJ3,08:54:00,2400A041000A,Longmead Close,51.361115,1.1054355,2400A041010A,Herne Drive,51.3602914,1.1066441,0.12421249725619529,124.21,Under 0.25 km,6,1.0
SCEK:PK0000098:64:502,VJ953,10:38:00,2400100812,County Square,51.1475266,0.8689561,2400A060560A,Bank Street Arrivals,51.1475665,0.8702599,0.09105415845057072,91.05,Under 0.25 km,1,1.0
SCEK:PK0000098:28:71A,VJ430,18:05:00,2400A027750A,Royal Military Avenue,51.085666,1.1361964,240099327,Wellington Road,51.0853763,1.1382762,0.1487991555810789,148.8,Under 0.25 km,1,1.0
SCEK:PK0000098:437:D,VJ2064,13:20:00,2400109647,Burgoyne Heights,51.1386455,1.3185717,2400109649,Dover Road,51.1447179,1.3177281,0.6777809486317118,677.78,0.50-1.00 km,1,2.0
SCEK:PK0000098:324:101,VJ1029,09:49:00,1400RR10121,New Beach Club,50.89131,0.6899052,1400HA80566,Colonel Body Memorial Lakes,50.900762,0.7066793,1.5775404076832462,1577.54,1.00-2.00 km,1,1.0
SCEK:PK0000098:405:331,VJ1359,14:25:00,1400HA0284,Fellows Road,50.8707319,0.592119,1400HA0287,Firtree Road,50.8696817,0.5899997,0.1890866558647191,189.09,Under 0.25 km,1,1.0
SCEK:PK0000098:341:5,VJ1405,08:55:00,1400EB75131,Tideswell Road,50.7707228,0.2892693,1400EB0446,Bourne Street,50.7725648,0.2893592,0.20491887788438742,204.92,Under 0.25 km,1,1.0
SCEK:PK0000098:268:LINK,VJ608,21:10:00,1400EB0097,King's Avenue,50.7807965,0.2736173,1400EB0099,St Thomas A Becket School,50.7786167,0.2783914,0.4140276009393653,414.03,0.25-0.50 km,1,1.0
SCEK:PK0000098:270:51,VJ1070,12:10:00,1400WE75210,Criers Lane,51.0053638,0.2198508,1400WE75212,Skippers Hill,51.00889,0.22173,0.4135536862326474,413.55,0.25-0.50 km,1,1.0
SCEK:PK0000098:202:503,VJ832,19:13:00,2400100750,Sandy Lane,51.1423602,0.9091288,2400A025200A,William Harvey Hospital,51.1412216,0.9140329,0.36480060324500985,364.8,0.25-0.50 km,1,4.0
SCEK:PK0000098:434:105,VJ1078,15:08:00,240099694,Health Centre,51.0827221,1.1815241,240099696,Dover Road Post Office,51.0839701,1.1845803,0.25462003734565114,254.62,0.25-0.50 km,1,1.0
