source_file,vehicle_journey_code,line_ref,segment_key,departure_time,from_stop_ref,origin_stop_name,to_stop_ref,destination_stop_name,distance_km,runtime_minutes,prediction,residual_minutes,absolute_error_minutes,is_model_anomaly,anomaly_direction
1066-1066--SCEK-SVSE-2026-04-12-Hastings_-_12th_April_2026_-_Copy__SCEK_PK0000098_406_20260726-BODS_V1_1.xml,VJ432,SCEK:PK0000098:406:1066,1400RR10014_1400RR0331,06:30:00,1400RR10014,Horsegrove Avenue,1400RR0331,The Bell,0.6976923593719537,9.0,1.9288923541373981,7.071107645862602,7.071107645862602,1,Longer than expected
52-None--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_446_20260726-BODS_V1_1.xml,VJ1027,SCEK:PK0000098:446:52,1400EB0091_1400EB0094,14:19:00,1400EB0091,Selmeston Road,1400EB0094,District General Hospital,0.4604806019265677,9.0,2.0274594386138163,6.972540561386184,6.972540561386184,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2331,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,07:32:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,2.2348659960666484,6.765134003933351,6.765134003933351,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1924,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,08:42:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,2.2348659960666484,6.765134003933351,6.765134003933351,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1923,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,07:32:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,2.2348659960666484,6.765134003933351,6.765134003933351,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2332,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,08:42:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,2.2348659960666484,6.765134003933351,6.765134003933351,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2343,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,14:02:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,2.342163494050633,6.657836505949367,6.657836505949367,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1935,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,14:02:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,2.342163494050633,6.657836505949367,6.657836505949367,1,Longer than expected
942-None--SCEK-THSE-2026-04-12-March_No_RW_with_NWD_&amp;_OTv3__SCEK_PK0000098_20_20260531-BODS_V1_1.xml,VJ407,SCEK:PK0000098:20:942,2400A043690A_2400100362,07:01:00,2400A043690A,Hartsdown Academy,2400100362,Ulster Road,1.1607605448839906,9.0,2.675215798772104,6.324784201227896,6.324784201227896,1,Longer than expected
902-None--SCEK-HYSE-2026-06-07-7_June_26_(MetaData)_AVL2__SCEK_PK0000098_77_20260621-BODS_V1_1.xml,VJ2362,SCEK:PK0000098:77:903,240096713_2400A050330A,15:40:00,240096713,Queens Avenue,2400A050330A,Garden Close,1.7275135413702314,9.0,2.687426161464197,6.312573838535803,6.312573838535803,1,Longer than expected
53-53--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_429_20260726-BODS_V1_1.xml,VJ498,SCEK:PK0000098:429:53,1400WE0156_1400WE0182,06:30:00,1400WE0156,St George's Church,1400WE0182,Railway Station,0.47201256635830097,8.0,1.7238687892951607,6.27613121070484,6.27613121070484,1,Longer than expected
251-None--SCEK-EBSE-2026-04-12-EB_120426_Duties_v4__SCEK_PK0000098_447_20260531-BODS_V1_1.xml,VJ1604,SCEK:PK0000098:447:251,1400WE75217_1400WE0490,07:15:00,1400WE75217,Brickyard Lane,1400WE0490,Sleeches Cross,3.049827074420927,10.0,3.7372103740293294,6.262789625970671,6.262789625970671,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2347,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,16:02:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,2.7661925159605247,6.233807484039476,6.233807484039476,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1939,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,16:02:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,2.7661925159605247,6.233807484039476,6.233807484039476,1,Longer than expected
359-359--SCEK-SVSE-2026-04-12-Hastings_-_12th_April_2026_-_Rye_Co__SCEK_PK0000098_296_20260531-BODS_V1_1.xml,VJ1763,SCEK:PK0000098:296:359,1400HA0011_1400WE10011,07:25:00,1400HA0011,William Road North,1400WE10011,Penland Road,3.1543245709821597,10.0,3.8034868224594987,6.196513177540501,6.196513177540501,1,Longer than expected
51-51--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_264_20260726-BODS_V1_1.xml,VJ1524,SCEK:PK0000098:264:51,1400WE0283_1400WE0112,08:30:00,1400WE0283,Old Railway Bridge,1400WE0112,High Street,0.3507216717230855,9.0,2.840113471376389,6.159886528623611,6.159886528623611,1,Longer than expected
53-53--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_429_20260726-BODS_V1_1.xml,VJ498,SCEK:PK0000098:429:53,1400EB0022_1400EB0093,06:30:00,1400EB0022,Rutland Close,1400EB0093,District General Hospital,0.3907766731366656,8.0,1.8410535946992561,6.158946405300744,6.158946405300744,1,Longer than expected
81A-None--SCEK-THSE-2026-04-12-March_No_RW_with_NWD_&amp;_OTv3__SCEK_PK0000098_450_20260531-BODS_V1_1.xml,VJ404,SCEK:PK0000098:450:81B,2400A032200A_240097589,15:33:00,2400A032200A,The Swingate Inn,240097589,Sandwich Road The Archer,3.5231963820642664,5.0,11.11477559147396,-6.114775591473959,6.114775591473959,1,Shorter than expected
52-None--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_446_20260726-BODS_V1_1.xml,VJ1014,SCEK:PK0000098:446:52,1400EB10045_1400WE0161,08:00:00,1400EB10045,Coopers Hill,1400WE0161,Post Office,0.575657378764573,8.0,1.9039316948323566,6.096068305167643,6.096068305167643,1,Longer than expected
507-507--SCEK-ASSE-2026-07-26-Ashford_-_26th_July_2026_-_Hols_Agr__SCEK_PK0000098_440_20260726-BODS_V1_1.xml,VJ1220,SCEK:PK0000098:440:507,2400A025980A_2400A063210R,16:38:00,2400A025980A,Old Railway Works,2400A063210R,Ashford International Railway Station,0.7391113168640271,8.0,1.9320368396494685,6.067963160350532,6.067963160350532,1,Longer than expected
507-507--SCEK-ASSE-2026-07-26-Ashford_-_26th_July_2026_-_Hols_Agr__SCEK_PK0000098_440_20260726-BODS_V1_1.xml,VJ1222,SCEK:PK0000098:440:507,2400A025980A_2400A063210R,17:48:00,2400A025980A,Old Railway Works,2400A063210R,Ashford International Railway Station,0.7391113168640271,8.0,1.9320368396494685,6.067963160350532,6.067963160350532,1,Longer than expected
51-51--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_264_20260726-BODS_V1_1.xml,VJ1485,SCEK:PK0000098:264:51,1400WE0283_1400WE0112,18:10:00,1400WE0283,Old Railway Bridge,1400WE0112,High Street,0.3507216717230855,8.0,2.0387837938933475,5.961216206106652,5.961216206106652,1,Longer than expected
52-None--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_446_20260726-BODS_V1_1.xml,VJ1026,SCEK:PK0000098:446:52,1400EB75144_1400WE0361,13:45:00,1400EB75144,Dittons Farm,1400WE0361,Natewood,3.1883925609601014,12.0,6.3788225243099035,5.6211774756900965,5.6211774756900965,1,Longer than expected
52-None--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_446_20260726-BODS_V1_1.xml,VJ1053,SCEK:PK0000098:446:52,1400EB75144_1400WE0361,13:45:00,1400EB75144,Dittons Farm,1400WE0361,Natewood,3.1883925609601014,12.0,6.3788225243099035,5.6211774756900965,5.6211774756900965,1,Longer than expected
51-51--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_264_20260726-BODS_V1_1.xml,VJ1518,SCEK:PK0000098:264:51,1400EB0022_1400EB0093,23:20:00,1400EB0022,Rutland Close,1400EB0093,District General Hospital,0.3907766731366656,7.0,1.4001315972907686,5.599868402709231,5.599868402709231,1,Longer than expected
51-51--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_264_20260726-BODS_V1_1.xml,VJ1549,SCEK:PK0000098:264:51,1400EB0022_1400EB0093,23:20:00,1400EB0022,Rutland Close,1400EB0093,District General Hospital,0.3907766731366656,7.0,1.4001315972907686,5.599868402709231,5.599868402709231,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2624,SCEK:PK0000098:454:66,2400A073930A_240097593,09:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2628,SCEK:PK0000098:454:66,2400A073930A_240097593,11:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2606,SCEK:PK0000098:454:66,2400A073930A_240097593,12:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2612,SCEK:PK0000098:454:66,2400A073930A_240097593,15:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2631,SCEK:PK0000098:454:66,2400A073930A_240097593,13:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2629,SCEK:PK0000098:454:66,2400A073930A_240097593,12:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2605,SCEK:PK0000098:454:66,2400A073930A_240097593,11:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2599,SCEK:PK0000098:454:66,2400A073930A_240097593,08:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2635,SCEK:PK0000098:454:66,2400A073930A_240097593,15:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2637,SCEK:PK0000098:454:66,2400A073930A_240097593,16:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2633,SCEK:PK0000098:454:66,2400A073930A_240097593,14:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2608,SCEK:PK0000098:454:66,2400A073930A_240097593,13:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2601,SCEK:PK0000098:454:66,2400A073930A_240097593,09:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2626,SCEK:PK0000098:454:66,2400A073930A_240097593,10:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2614,SCEK:PK0000098:454:66,2400A073930A_240097593,16:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2610,SCEK:PK0000098:454:66,2400A073930A_240097593,14:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2597,SCEK:PK0000098:454:66,2400A073930A_240097593,07:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2620,SCEK:PK0000098:454:66,2400A073930A_240097593,07:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2622,SCEK:PK0000098:454:66,2400A073930A_240097593,08:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
66-None--SCEK-DVSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_454_20260726-BODS_V1_1.xml,VJ2603,SCEK:PK0000098:454:66,2400A073930A_240097593,10:40:00,2400A073930A,Eastern Docks,240097593,Old Park Barracks,3.910974468335686,11.0,5.461741623767051,5.538258376232949,5.538258376232949,1,Longer than expected
902-None--SCEK-HYSE-2026-06-07-7_June_26_(MetaData)_AVL2__SCEK_PK0000098_77_20260621-BODS_V1_1.xml,VJ2364,SCEK:PK0000098:77:904,240096713_2400A050330A,16:00:00,240096713,Queens Avenue,2400A050330A,Garden Close,1.7275135413702314,8.0,2.687426161464197,5.312573838535803,5.312573838535803,1,Longer than expected
